[34m2025-08-13 13:37:21.402[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Starting CarRentalSystemsApplication using Java 21.0.6 with PID 20736 (C:\Users\jancy\OneDrive\Desktop\car-rental-systems\target\classes started by jancy in C:\Users\jancy\OneDrive\Desktop\car-rental-systems)
[34m2025-08-13 14:07:36.724[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@352df548, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45dc4d1a, org.springframework.security.web.context.SecurityContextHolderFilter@1638fa8b, org.springframework.security.web.header.HeaderWriterFilter@bb0dcb6, org.springframework.web.filter.CorsFilter@4dbcc8ce, org.springframework.security.web.authentication.logout.LogoutFilter@78571a17, com.hexaware.carrentalsystems.filter.JwtAuthFilter@2e940dd0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@73534675, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3116e9d2, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@60a98fa6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c7aa676, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@fa200ab, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3af4b14e, org.springframework.security.web.access.ExceptionTranslationFilter@55e073c8, org.springframework.security.web.access.intercept.AuthorizationFilter@7b4fbedb]
[34m2025-08-13 14:07:37.558[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port 8080 (http) with context path ''
[34m2025-08-13 14:07:37.574[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Started CarRentalSystemsApplication in 10.442 seconds (process running for 11.687)
[34m2025-08-13 14:08:34.494[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8080-exec-2] Initializing Spring DispatcherServlet 'dispatcherServlet'
[34m2025-08-13 14:08:34.496[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Initializing Servlet 'dispatcherServlet'
[34m2025-08-13 14:08:34.500[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Completed initialization in 4 ms
[34m2025-08-13 14:11:39.540[0;39m [INFO] com.hexaware.carrentalsystems.controller.CarRestController [http-nio-8080-exec-9] Fetching all cars
[34m2025-08-13 14:11:39.540[0;39m [INFO] com.hexaware.carrentalsystems.service.CarServiceImp [http-nio-8080-exec-9] Fetching all cars
[34m2025-08-13 14:13:26.705[0;39m [INFO] com.hexaware.carrentalsystems.controller.AuthController [http-nio-8080-exec-3] Generated Token: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJKb2huIiwiaWF0IjoxNzU1MDc0NjA2LCJleHAiOjE3NTUwNzY0MDZ9.BSsg0HR2_7dV8jwhndwGJlS6R65JVFYV3qECshX90Ws
[34m2025-08-13 14:14:13.828[0;39m [INFO] com.hexaware.carrentalsystems.controller.CarRestController [http-nio-8080-exec-4] Received request to fetch car by ID: 5
[34m2025-08-13 14:15:49.281[0;39m [INFO] org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin [RMI TCP Connection(13)-127.0.0.1] Application shutdown requested.
[34m2025-08-13 14:15:49.316[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [RMI TCP Connection(13)-127.0.0.1] Closing JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 14:15:49.333[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(13)-127.0.0.1] HikariPool-1 - Shutdown initiated...
[34m2025-08-13 14:15:49.364[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(13)-127.0.0.1] HikariPool-1 - Shutdown completed.
[34m2025-08-13 14:26:04.412[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Starting CarRentalSystemsApplication using Java 21.0.6 with PID 19252 (C:\Users\jancy\OneDrive\Desktop\car-rental-systems\target\classes started by jancy in C:\Users\jancy\OneDrive\Desktop\car-rental-systems)
[34m2025-08-13 14:26:04.415[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] No active profile set, falling back to 1 default profile: "default"
[34m2025-08-13 14:26:05.452[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[34m2025-08-13 14:26:05.552[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 88 ms. Found 5 JPA repository interfaces.
[34m2025-08-13 14:26:06.239[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port 8080 (http)
[34m2025-08-13 14:26:06.253[0;39m [INFO] org.apache.catalina.core.StandardService [main] Starting service [Tomcat]
[34m2025-08-13 14:26:06.254[0;39m [INFO] org.apache.catalina.core.StandardEngine [main] Starting Servlet engine: [Apache Tomcat/10.1.20]
[34m2025-08-13 14:26:06.333[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [main] Initializing Spring embedded WebApplicationContext
[34m2025-08-13 14:26:06.333[0;39m [INFO] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 1856 ms
[34m2025-08-13 14:26:06.500[0;39m [INFO] org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
[34m2025-08-13 14:26:06.596[0;39m [INFO] org.hibernate.Version [main] HHH000412: Hibernate ORM core version 6.4.4.Final
[34m2025-08-13 14:26:06.658[0;39m [INFO] org.hibernate.cache.internal.RegionFactoryInitiator [main] HHH000026: Second-level cache disabled
[34m2025-08-13 14:26:06.947[0;39m [INFO] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo [main] No LoadTimeWeaver setup: ignoring JPA class transformer
[34m2025-08-13 14:26:06.981[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
[34m2025-08-13 14:26:07.452[0;39m [INFO] com.zaxxer.hikari.pool.HikariPool [main] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6ec3a4c2
[34m2025-08-13 14:26:07.455[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
[34m2025-08-13 14:26:07.569[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[34m2025-08-13 14:26:07.571[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
[34m2025-08-13 14:26:08.706[0;39m [INFO] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[34m2025-08-13 14:26:08.909[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 14:26:09.256[0;39m [INFO] org.springframework.data.jpa.repository.query.QueryEnhancerFactory [main] Hibernate is in classpath; If applicable, HQL parser will be used.
[34m2025-08-13 14:26:10.046[0;39m [WARN] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[34m2025-08-13 14:26:10.427[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3fd64d6b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f9a7d6f, org.springframework.security.web.context.SecurityContextHolderFilter@793af433, org.springframework.security.web.header.HeaderWriterFilter@5e4874ae, org.springframework.web.filter.CorsFilter@3f96ef2, org.springframework.security.web.authentication.logout.LogoutFilter@2b7b6f58, com.hexaware.carrentalsystems.filter.JwtAuthFilter@214fe287, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@245155b8, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2162b22d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@12039ae0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e34570, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@274010fe, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1fb320de, org.springframework.security.web.access.ExceptionTranslationFilter@7a65e842, org.springframework.security.web.access.intercept.AuthorizationFilter@2495a351]
[34m2025-08-13 14:26:10.831[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port 8080 (http) with context path ''
[34m2025-08-13 14:26:10.844[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Started CarRentalSystemsApplication in 7.174 seconds (process running for 8.214)
[34m2025-08-13 14:26:21.190[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8080-exec-1] Initializing Spring DispatcherServlet 'dispatcherServlet'
[34m2025-08-13 14:26:21.190[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-1] Initializing Servlet 'dispatcherServlet'
[34m2025-08-13 14:26:21.202[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-1] Completed initialization in 12 ms
[34m2025-08-13 14:26:23.220[0;39m [INFO] org.springdoc.api.AbstractOpenApiResource [http-nio-8080-exec-7] Init duration for springdoc-openapi is: 1509 ms
[34m2025-08-13 14:26:55.535[0;39m [INFO] com.hexaware.carrentalsystems.controller.AuthController [http-nio-8080-exec-5] Generated Token: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJBbGljZSIsImlhdCI6MTc1NTA3NTQxNSwiZXhwIjoxNzU1MDc3MjE1fQ.mfhQ7fJ0BZxNc1W8eoqFgKMikYJRsHJO3pymyYW-USU
[34m2025-08-13 14:29:03.079[0;39m [WARN] org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver [http-nio-8080-exec-1] Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported]
[34m2025-08-13 14:31:01.306[0;39m [INFO] com.hexaware.carrentalsystems.controller.CarRestController [http-nio-8080-exec-3] Received request to fetch car by ID: 5
[34m2025-08-13 14:33:24.080[0;39m [INFO] org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin [RMI TCP Connection(11)-127.0.0.1] Application shutdown requested.
[34m2025-08-13 14:33:24.097[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [RMI TCP Connection(11)-127.0.0.1] Closing JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 14:33:24.101[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(11)-127.0.0.1] HikariPool-1 - Shutdown initiated...
[34m2025-08-13 14:33:24.113[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(11)-127.0.0.1] HikariPool-1 - Shutdown completed.
[34m2025-08-13 14:33:28.968[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Starting CarRentalSystemsApplication using Java 21.0.6 with PID 17020 (C:\Users\jancy\OneDrive\Desktop\car-rental-systems\target\classes started by jancy in C:\Users\jancy\OneDrive\Desktop\car-rental-systems)
[34m2025-08-13 14:33:28.970[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] No active profile set, falling back to 1 default profile: "default"
[34m2025-08-13 14:33:30.579[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[34m2025-08-13 14:33:30.733[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 139 ms. Found 5 JPA repository interfaces.
[34m2025-08-13 14:33:31.818[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port 8080 (http)
[34m2025-08-13 14:33:31.838[0;39m [INFO] org.apache.catalina.core.StandardService [main] Starting service [Tomcat]
[34m2025-08-13 14:33:31.838[0;39m [INFO] org.apache.catalina.core.StandardEngine [main] Starting Servlet engine: [Apache Tomcat/10.1.20]
[34m2025-08-13 14:33:31.919[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [main] Initializing Spring embedded WebApplicationContext
[34m2025-08-13 14:33:31.920[0;39m [INFO] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 2873 ms
[34m2025-08-13 14:33:32.121[0;39m [INFO] org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
[34m2025-08-13 14:33:32.220[0;39m [INFO] org.hibernate.Version [main] HHH000412: Hibernate ORM core version 6.4.4.Final
[34m2025-08-13 14:33:32.271[0;39m [INFO] org.hibernate.cache.internal.RegionFactoryInitiator [main] HHH000026: Second-level cache disabled
[34m2025-08-13 14:33:32.605[0;39m [INFO] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo [main] No LoadTimeWeaver setup: ignoring JPA class transformer
[34m2025-08-13 14:33:32.680[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
[34m2025-08-13 14:33:33.398[0;39m [INFO] com.zaxxer.hikari.pool.HikariPool [main] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2a54c92e
[34m2025-08-13 14:33:33.411[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
[34m2025-08-13 14:33:33.502[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[34m2025-08-13 14:33:33.504[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
[34m2025-08-13 14:33:36.671[0;39m [INFO] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[34m2025-08-13 14:33:36.877[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 14:33:37.339[0;39m [INFO] org.springframework.data.jpa.repository.query.QueryEnhancerFactory [main] Hibernate is in classpath; If applicable, HQL parser will be used.
[34m2025-08-13 14:33:38.843[0;39m [WARN] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[34m2025-08-13 14:33:39.497[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@352df548, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45dc4d1a, org.springframework.security.web.context.SecurityContextHolderFilter@1638fa8b, org.springframework.security.web.header.HeaderWriterFilter@bb0dcb6, org.springframework.web.filter.CorsFilter@4dbcc8ce, org.springframework.security.web.authentication.logout.LogoutFilter@78571a17, com.hexaware.carrentalsystems.filter.JwtAuthFilter@2e940dd0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@73534675, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3116e9d2, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@60a98fa6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c7aa676, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@fa200ab, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3af4b14e, org.springframework.security.web.access.ExceptionTranslationFilter@55e073c8, org.springframework.security.web.access.intercept.AuthorizationFilter@7b4fbedb]
[34m2025-08-13 14:33:39.979[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port 8080 (http) with context path ''
[34m2025-08-13 14:33:39.995[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Started CarRentalSystemsApplication in 11.72 seconds (process running for 13.485)
[34m2025-08-13 14:34:15.783[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8080-exec-1] Initializing Spring DispatcherServlet 'dispatcherServlet'
[34m2025-08-13 14:34:15.783[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-1] Initializing Servlet 'dispatcherServlet'
[34m2025-08-13 14:34:15.785[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-1] Completed initialization in 2 ms
[34m2025-08-13 14:34:16.105[0;39m [ERROR] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/].[dispatcherServlet] [http-nio-8080-exec-1] Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed: java.lang.IllegalArgumentException: Failed to evaluate expression 'hasAuthority('Admin','User')'] with root cause
org.springframework.expression.spel.SpelEvaluationException: EL1004E: Method call: Method hasAuthority(java.lang.String,java.lang.String) cannot be found on type org.springframework.security.access.expression.method.MethodSecurityExpressionRoot
	at org.springframework.expression.spel.ast.MethodReference.findAccessorForMethod(MethodReference.java:238)
	at org.springframework.expression.spel.ast.MethodReference.getValueInternal(MethodReference.java:148)
	at org.springframework.expression.spel.ast.MethodReference.getValueInternal(MethodReference.java:108)
	at org.springframework.expression.spel.ast.SpelNodeImpl.getTypedValue(SpelNodeImpl.java:119)
	at org.springframework.expression.spel.standard.SpelExpression.getValue(SpelExpression.java:309)
	at org.springframework.security.access.expression.ExpressionUtils.evaluateAsBoolean(ExpressionUtils.java:30)
	at org.springframework.security.authorization.method.PreAuthorizeAuthorizationManager.check(PreAuthorizeAuthorizationManager.java:68)
	at org.springframework.security.authorization.method.PreAuthorizeAuthorizationManager.check(PreAuthorizeAuthorizationManager.java:40)
	at org.springframework.security.config.annotation.method.configuration.DeferringObservationAuthorizationManager.check(DeferringObservationAuthorizationManager.java:47)
	at org.springframework.security.authorization.method.AuthorizationManagerBeforeMethodInterceptor.attemptAuthorization(AuthorizationManagerBeforeMethodInterceptor.java:251)
	at org.springframework.security.authorization.method.AuthorizationManagerBeforeMethodInterceptor.invoke(AuthorizationManagerBeforeMethodInterceptor.java:197)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:184)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.proceed(CglibAopProxy.java:768)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:720)
	at com.hexaware.carrentalsystems.controller.CarRestController$$SpringCGLIB$$0.getAffordableSorted(<generated>)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:255)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:188)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:118)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:926)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:831)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1089)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:979)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1014)
	at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:903)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:564)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:658)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:206)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:150)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:175)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:150)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:110)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:175)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:150)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:108)
	at org.springframework.security.web.FilterChainProxy.lambda$doFilterInternal$3(FilterChainProxy.java:231)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:365)
	at org.springframework.security.web.access.intercept.AuthorizationFilter.doFilter(AuthorizationFilter.java:100)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:126)
	at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:120)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter(AnonymousAuthenticationFilter.java:100)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter(SecurityContextHolderAwareRequestFilter.java:179)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter(RequestCacheAwareFilter.java:63)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter.doFilterInternal(DefaultLogoutPageGeneratingFilter.java:58)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter.doFilter(DefaultLoginPageGeneratingFilter.java:189)
	at org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter.doFilter(DefaultLoginPageGeneratingFilter.java:175)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter(AbstractAuthenticationProcessingFilter.java:227)
	at org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter(AbstractAuthenticationProcessingFilter.java:221)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at com.hexaware.carrentalsystems.filter.JwtAuthFilter.doFilterInternal(JwtAuthFilter.java:54)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:107)
	at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:93)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.web.filter.CorsFilter.doFilterInternal(CorsFilter.java:91)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.header.HeaderWriterFilter.doHeadersAfter(HeaderWriterFilter.java:90)
	at org.springframework.security.web.header.HeaderWriterFilter.doFilterInternal(HeaderWriterFilter.java:75)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.context.SecurityContextHolderFilter.doFilter(SecurityContextHolderFilter.java:82)
	at org.springframework.security.web.context.SecurityContextHolderFilter.doFilter(SecurityContextHolderFilter.java:69)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter.doFilterInternal(WebAsyncManagerIntegrationFilter.java:62)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.session.DisableEncodeUrlFilter.doFilterInternal(DisableEncodeUrlFilter.java:42)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:374)
	at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:233)
	at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:191)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:113)
	at org.springframework.web.servlet.handler.HandlerMappingIntrospector.lambda$createCacheFilter$3(HandlerMappingIntrospector.java:195)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:113)
	at org.springframework.web.filter.CompositeFilter.doFilter(CompositeFilter.java:74)
	at org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration$CompositeFilterChainProxy.doFilter(WebMvcSecurityConfiguration.java:230)
	at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:352)
	at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:268)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:175)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:150)
	at org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:175)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:150)
	at org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
